student_id,user_id,enrollment_year,total_courses_enrolled,courses_completed,courses_abandoned,avg_score_overall,score_trend,total_active_days,days_since_last_activity,avg_weekly_events,avg_session_gap_days,late_submission_rate,label_at_fault,label_dropout,refreshed_at
77,5,2024,8,6,2,67.06,0.0155,70,0,3.89,1.88,0.0000,0,0,2026-05-01 12:44:16.788+00
78,6,2026,4,2,2,49.98,0.0110,2,0,49.00,0.02,0.0000,1,1,2026-05-01 12:44:16.788+00
79,7,2022,8,7,1,61.66,,64,0,1.79,4.49,,1,0,2026-05-01 12:44:16.788+00
80,8,2022,9,6,3,54.27,,65,0,2.38,3.57,,1,1,2026-05-01 12:44:16.788+00
81,9,2025,5,4,1,77.02,,50,5,2.96,2.42,0.0000,0,0,2026-05-01 12:44:16.788+00
82,10,2023,9,7,2,46.00,-0.1115,70,50,3.31,2.79,,1,0,2026-05-01 12:44:16.788+00
83,11,2022,7,5,2,64.33,0.0395,65,0,3.67,1.66,0.0000,1,0,2026-05-01 12:44:16.788+00
84,12,2024,8,5,3,54.27,,67,0,1.58,4.17,,1,1,2026-05-01 12:44:16.788+00
85,1,2022,10,8,2,63.23,,91,0,2.32,3.79,,0,0,2026-05-01 12:44:16.788+00
86,2,2026,5,3,2,68.84,-0.0236,5,0,62.00,0.05,0.0000,0,1,2026-05-01 12:44:16.788+00
87,3,2025,4,3,1,53.90,-0.0557,35,0,4.17,1.89,0.0000,1,0,2026-05-01 12:44:16.788+00
88,4,2024,5,4,1,50.98,0.0033,34,0,5.28,1.53,0.0000,1,0,2026-05-01 12:44:16.788+00
89,5,2022,9,8,1,56.84,,93,109,1.79,3.55,,1,0,2026-05-01 12:44:16.788+00
90,6,2024,8,6,2,66.50,0.0083,60,0,4.46,1.60,0.0000,0,0,2026-05-01 12:44:16.788+00
91,7,2022,9,8,1,61.61,,80,42,2.20,3.29,0.0000,1,0,2026-05-01 12:44:16.788+00
92,8,2022,10,7,3,72.36,0.0466,96,0,5.35,1.15,0.0000,0,1,2026-05-01 12:44:16.788+00
93,9,2024,8,4,4,62.38,,59,52,5.32,1.57,,0,1,2026-05-01 12:44:16.788+00
94,10,2024,5,4,1,64.94,,52,99,1.86,3.52,0.0000,0,0,2026-05-01 12:44:16.788+00
95,11,2023,9,7,2,60.77,,71,0,2.00,3.66,0.0000,1,0,2026-05-01 12:44:16.788+00
96,12,2026,5,5,0,66.93,-0.0067,2,0,115.00,0.02,0.0000,0,0,2026-05-01 12:44:16.788+00
97,1,2026,6,5,1,68.48,-0.0269,3,0,66.00,0.06,0.0000,0,0,2026-05-01 12:44:16.788+00
98,2,2023,8,6,2,62.72,,71,19,1.75,4.21,0.0000,0,0,2026-05-01 12:44:16.788+00
99,3,2026,5,2,3,60.09,-0.0094,2,0,47.00,0.03,0.0000,1,1,2026-05-01 12:44:16.788+00
100,4,2023,6,4,2,52.20,0.0875,37,0,7.50,0.97,0.0000,1,1,2026-05-01 12:44:16.788+00
101,5,2024,8,7,1,63.44,,67,0,2.73,2.88,,0,0,2026-05-01 12:44:16.788+00
102,6,2026,3,3,0,55.25,0.0194,3,0,38.00,0.10,0.0000,1,0,2026-05-01 12:44:16.788+00
103,7,2024,6,3,3,49.62,,48,0,2.62,2.86,0.0000,1,1,2026-05-01 12:44:16.788+00
104,8,2023,10,10,0,63.79,0.0273,102,0,3.32,2.28,0.0000,0,0,2026-05-01 12:44:16.788+00
105,9,2022,9,6,3,68.72,,107,34,2.79,2.32,0.0000,0,1,2026-05-01 12:44:16.788+00
106,10,2024,8,4,4,49.91,,57,0,2.85,2.70,0.0000,1,1,2026-05-01 12:44:16.788+00
107,11,2022,10,7,3,66.68,,88,102,2.36,2.80,,0,1,2026-05-01 12:44:16.788+00
108,12,2025,4,4,0,56.81,0.0053,35,0,4.06,2.13,0.0000,1,0,2026-05-01 12:44:16.788+00
109,1,2023,8,7,1,46.05,,64,0,1.50,4.58,,1,0,2026-05-01 12:44:16.788+00
110,2,2023,7,6,1,61.13,,55,208,3.26,2.49,,1,0,2026-05-01 12:44:16.788+00
111,3,2022,7,5,2,55.80,0.0105,55,13,4.89,1.39,,1,0,2026-05-01 12:44:16.788+00
112,4,2025,4,2,2,49.70,,26,0,2.17,2.84,0.0000,1,1,2026-05-01 12:44:16.788+00
113,5,2024,7,3,4,74.16,0.0162,48,0,5.14,1.39,0.0000,1,1,2026-05-01 12:44:16.788+00
114,6,2024,5,3,2,54.10,,34,0,2.48,2.73,,1,1,2026-05-01 12:44:16.788+00
115,7,2024,6,4,2,34.22,,44,74,1.92,4.94,,1,1,2026-05-01 12:44:16.788+00
116,8,2022,8,6,2,66.84,,64,24,1.66,4.35,,0,0,2026-05-01 12:44:16.788+00
117,9,2022,7,6,1,53.18,,61,159,1.91,4.12,,1,0,2026-05-01 12:44:16.788+00
118,10,2023,6,3,3,54.09,,53,76,1.64,4.37,,1,1,2026-05-01 12:44:16.788+00
119,11,2026,4,3,1,55.47,0.0245,3,0,48.00,0.12,0.0000,1,0,2026-05-01 12:44:16.788+00
120,12,2026,2,2,0,53.98,-0.0640,2,0,12.00,0.09,0.0000,1,0,2026-05-01 12:44:16.788+00
121,1,2023,9,6,3,42.87,,72,0,1.75,4.46,,1,1,2026-05-01 12:44:16.788+00
122,2,2026,3,2,1,71.12,0.0138,2,0,22.50,0.04,0.0000,0,1,2026-05-01 12:44:16.788+00
123,3,2024,8,6,2,64.38,0.0564,73,0,5.32,1.31,0.0000,0,0,2026-05-01 12:44:16.788+00
124,4,2022,10,10,0,71.14,,93,7,1.72,4.04,,0,0,2026-05-01 12:44:16.788+00
125,5,2023,7,6,1,63.22,,54,8,2.19,3.05,,0,0,2026-05-01 12:44:16.788+00
126,6,2024,6,5,1,55.29,0.0337,46,0,11.82,0.82,0.0000,1,0,2026-05-01 12:44:16.788+00
127,7,2026,4,2,2,61.18,0.0205,5,0,29.50,0.22,0.0000,1,1,2026-05-01 12:44:16.788+00
128,8,2025,5,2,3,53.42,,30,0,4.00,2.38,0.0000,1,1,2026-05-01 12:44:16.788+00
129,9,2023,7,4,3,48.69,-0.0861,51,0,4.03,1.89,0.0000,1,1,2026-05-01 12:44:16.788+00
130,10,2025,8,7,1,55.12,,69,0,3.32,3.74,0.0000,1,0,2026-05-01 12:44:16.788+00
131,11,2022,10,8,2,47.03,,72,41,2.28,3.36,,1,0,2026-05-01 12:44:16.788+00
132,12,2022,8,7,1,48.17,,55,175,1.94,4.93,,1,0,2026-05-01 12:44:16.788+00
133,1,2022,7,4,3,50.51,,49,329,2.85,2.24,,1,1,2026-05-01 12:44:16.788+00
134,2,2025,6,4,2,72.18,0.0692,51,0,5.00,1.56,0.0000,0,1,2026-05-01 12:44:16.788+00
135,3,2023,7,5,2,48.25,,83,113,3.24,2.20,0.0000,1,0,2026-05-01 12:44:16.788+00
136,4,2024,5,5,0,61.74,-0.0165,52,0,3.26,1.83,0.0000,1,0,2026-05-01 12:44:16.788+00
137,5,2024,7,4,3,68.79,,61,0,1.97,4.06,0.0000,0,1,2026-05-01 12:44:16.788+00
138,6,2024,7,4,3,47.57,,69,98,2.91,2.67,,1,1,2026-05-01 12:44:16.788+00
139,7,2024,7,4,3,51.21,,72,26,3.88,1.92,0.0000,1,1,2026-05-01 12:44:16.788+00
140,8,2026,5,3,2,64.28,-0.0584,4,0,33.50,0.11,0.0000,0,1,2026-05-01 12:44:16.788+00
141,9,2026,6,5,1,61.79,0.0288,5,0,75.00,0.09,0.0000,1,0,2026-05-01 12:44:16.788+00
142,10,2022,9,8,1,48.43,,78,275,1.81,4.21,,1,0,2026-05-01 12:44:16.788+00
143,11,2024,5,1,4,44.62,,37,0,6.48,0.93,,1,1,2026-05-01 12:44:16.788+00
144,12,2025,8,5,3,58.82,0.0105,57,0,8.78,1.30,0.0000,1,1,2026-05-01 12:44:16.788+00
145,1,2026,7,7,0,62.78,-0.0223,6,0,91.00,0.09,0.0000,0,0,2026-05-01 12:44:16.788+00
146,2,2023,7,6,1,59.82,,60,0,1.71,4.18,0.0000,1,0,2026-05-01 12:44:16.788+00
147,3,2025,7,7,0,72.72,,50,0,2.23,4.55,0.1429,0,0,2026-05-01 12:44:16.788+00
148,4,2022,7,4,3,48.66,,53,323,3.35,2.07,0.0000,1,1,2026-05-01 12:44:16.788+00
149,5,2024,6,3,3,57.77,,57,0,2.00,3.78,0.0000,1,1,2026-05-01 12:44:16.788+00
150,6,2022,9,4,5,36.97,,61,13,3.03,2.78,,1,1,2026-05-01 12:44:16.788+00
151,7,2024,8,6,2,50.36,,54,0,2.96,3.49,,1,0,2026-05-01 12:44:16.788+00
152,8,2022,10,5,5,53.28,,93,0,3.92,1.79,0.0000,1,1,2026-05-01 12:44:16.788+00
153,9,2023,6,5,1,57.58,,50,0,1.55,4.66,,1,0,2026-05-01 12:44:16.788+00
154,10,2022,8,6,2,71.67,,91,0,2.00,3.58,,0,0,2026-05-01 12:44:16.788+00
155,11,2023,7,7,0,58.88,0.0286,65,0,3.81,1.68,0.0000,1,0,2026-05-01 12:44:16.788+00
156,12,2025,6,5,1,72.87,0.0392,46,0,5.19,1.70,0.0000,0,0,2026-05-01 12:44:16.788+00
157,1,2024,9,7,2,55.45,,68,8,1.52,5.07,,1,0,2026-05-01 12:44:16.788+00
158,2,2025,6,3,3,68.12,,43,0,2.34,2.73,0.0000,0,1,2026-05-01 12:44:16.788+00
159,3,2023,7,4,3,70.00,,60,254,3.64,2.18,,0,1,2026-05-01 12:44:16.788+00
160,4,2026,4,2,2,83.10,-0.0661,3,0,31.50,0.03,0.0000,0,1,2026-05-01 12:44:16.788+00
161,5,2024,6,5,1,58.97,,53,74,3.75,2.36,0.0000,1,0,2026-05-01 12:44:16.788+00
162,6,2024,6,4,2,73.68,,60,63,2.29,3.34,0.0000,0,1,2026-05-01 12:44:16.788+00
163,7,2024,6,4,2,61.00,,49,0,2.29,2.77,0.0000,1,1,2026-05-01 12:44:16.788+00
164,8,2022,7,4,3,48.57,,44,24,1.90,4.08,,1,1,2026-05-01 12:44:16.788+00
165,9,2023,9,8,1,57.00,,83,0,1.71,4.07,,1,0,2026-05-01 12:44:16.788+00
166,10,2025,5,4,1,69.64,-0.0086,35,0,2.65,2.85,0.0000,0,0,2026-05-01 12:44:16.788+00
167,11,2025,7,4,3,68.04,-0.0859,48,0,4.42,1.83,0.0000,0,1,2026-05-01 12:44:16.788+00
168,12,2024,7,5,2,55.29,-0.0622,48,0,2.91,2.35,0.0000,1,0,2026-05-01 12:44:16.788+00
169,1,2025,5,4,1,52.17,0.0712,40,0,2.88,2.18,0.0000,1,0,2026-05-01 12:44:16.788+00
170,2,2026,6,2,4,56.84,-0.1432,4,0,44.00,0.04,0.0000,1,1,2026-05-01 12:44:16.788+00
171,3,2024,8,6,2,52.32,-0.0964,52,0,3.81,2.16,0.0000,1,0,2026-05-01 12:44:16.788+00
172,4,2024,5,2,3,50.81,,41,39,1.79,4.57,,1,1,2026-05-01 12:44:16.788+00
173,5,2022,8,8,0,65.03,,74,457,1.78,3.81,,0,0,2026-05-01 12:44:16.788+00
174,6,2022,8,7,1,62.75,,72,111,1.78,4.05,,0,0,2026-05-01 12:44:16.788+00
175,7,2025,6,5,1,46.21,,45,0,3.10,3.86,,1,0,2026-05-01 12:44:16.788+00
176,8,2026,4,4,0,66.15,0.0362,3,0,48.00,0.03,0.0000,0,0,2026-05-01 12:44:16.788+00
177,9,2026,3,1,2,58.81,-0.0576,1,0,63.00,0.00,0.0000,1,1,2026-05-01 12:44:16.788+00
178,10,2025,7,6,1,65.68,,59,0,3.22,2.73,0.0000,0,0,2026-05-01 12:44:16.788+00
179,11,2024,4,3,1,36.17,,40,0,2.29,2.87,,1,0,2026-05-01 12:44:16.788+00
180,12,2023,7,7,0,54.46,,63,254,2.78,3.71,,1,0,2026-05-01 12:44:16.788+00
181,1,2022,10,8,2,45.22,,85,0,2.86,2.40,,1,0,2026-05-01 12:44:16.788+00
182,2,2022,10,8,2,49.89,,83,0,3.08,2.14,,1,0,2026-05-01 12:44:16.788+00
183,3,2022,11,10,1,65.49,,107,58,1.92,3.68,,0,0,2026-05-01 12:44:16.788+00
184,4,2026,6,4,2,55.19,-0.0165,3,0,59.00,0.06,0.0000,1,1,2026-05-01 12:44:16.788+00
185,5,2022,8,6,2,43.04,,58,14,1.48,5.04,,1,0,2026-05-01 12:44:16.788+00
186,6,2023,8,7,1,49.45,,86,0,2.23,2.97,,1,0,2026-05-01 12:44:16.788+00
187,7,2023,6,4,2,53.62,,54,66,2.14,3.73,,1,1,2026-05-01 12:44:16.788+00
188,8,2022,8,4,4,53.05,,66,0,2.84,2.17,0.0000,1,1,2026-05-01 12:44:16.788+00
189,9,2023,6,5,1,55.30,,67,35,1.81,3.61,,1,0,2026-05-01 12:44:16.788+00
190,10,2026,6,4,2,49.52,0.0582,5,0,48.00,0.13,0.0000,1,1,2026-05-01 12:44:16.788+00
191,11,2026,4,2,2,61.92,,3,0,18.00,0.22,0.0000,1,1,2026-05-01 12:44:16.788+00
192,12,2024,6,5,1,44.81,-0.0245,43,0,2.58,3.53,0.0000,1,0,2026-05-01 12:44:16.788+00
193,1,2023,8,5,3,47.77,,63,0,1.55,5.00,,1,1,2026-05-01 12:44:16.788+00
194,2,2023,8,7,1,71.57,0.0203,68,0,3.73,2.08,0.0000,0,0,2026-05-01 12:44:16.788+00
195,3,2024,7,7,0,65.93,-0.0393,59,0,3.79,1.82,0.0000,1,0,2026-05-01 12:44:16.788+00
196,4,2025,5,4,1,61.81,-0.0426,45,0,2.75,2.70,0.0769,1,0,2026-05-01 12:44:16.788+00
197,5,2023,8,7,1,54.87,,73,0,1.81,4.08,0.2000,1,0,2026-05-01 12:44:16.788+00
198,6,2024,6,4,2,52.02,,45,7,1.52,4.93,,1,1,2026-05-01 12:44:16.788+00
199,7,2022,8,7,1,68.55,,82,313,3.33,2.15,,0,0,2026-05-01 12:44:16.788+00
200,8,2025,5,3,2,61.01,-0.0926,39,0,3.53,2.52,0.0000,1,1,2026-05-01 12:44:16.788+00
201,9,2025,5,5,0,61.47,-0.0315,45,0,2.90,3.08,0.2857,1,0,2026-05-01 12:44:16.788+00
202,10,2025,8,5,3,43.42,-0.0314,60,0,3.33,3.14,0.0000,1,1,2026-05-01 12:44:16.788+00
203,11,2023,8,5,3,40.94,,69,52,3.14,2.38,0.0000,1,1,2026-05-01 12:44:16.788+00
204,12,2022,10,9,1,66.16,0.0060,84,0,3.00,2.10,0.0000,0,0,2026-05-01 12:44:16.788+00
205,1,2025,5,3,2,39.04,,33,19,4.13,2.34,,1,1,2026-05-01 12:44:16.788+00
206,2,2023,8,5,3,58.25,,76,0,3.19,2.52,0.0000,1,1,2026-05-01 12:44:16.788+00
207,3,2023,9,5,4,49.97,-0.0367,90,0,3.44,1.87,0.0000,1,1,2026-05-01 12:44:16.788+00
208,4,2023,8,8,0,76.10,0.0208,73,0,5.11,1.32,0.0000,0,0,2026-05-01 12:44:16.788+00
209,5,2024,7,2,5,47.10,,62,0,2.63,3.15,,1,1,2026-05-01 12:44:16.788+00
210,6,2026,7,7,0,71.85,0.0312,5,0,100.00,0.04,0.0000,0,0,2026-05-01 12:44:16.788+00
211,7,2026,4,3,1,72.67,0.0277,3,0,30.00,0.11,0.0000,0,0,2026-05-01 12:44:16.788+00
212,8,2024,5,4,1,58.06,0.0348,40,0,7.39,1.13,0.0000,1,0,2026-05-01 12:44:16.788+00
213,9,2023,8,7,1,80.54,0.0415,72,0,3.30,2.24,0.0000,0,0,2026-05-01 12:44:16.788+00
214,10,2026,5,4,1,66.76,-0.0272,4,0,45.00,0.16,0.0000,0,0,2026-05-01 12:44:16.788+00
215,11,2025,5,4,1,77.45,-0.0621,46,0,2.46,2.63,0.0909,0,0,2026-05-01 12:44:16.788+00
216,12,2025,5,2,3,40.45,,42,49,2.65,3.55,,1,1,2026-05-01 12:44:16.788+00
217,1,2023,7,6,1,62.45,0.0781,74,0,2.73,3.08,0.0000,1,0,2026-05-01 12:44:16.788+00
218,2,2024,4,3,1,50.27,,33,56,2.35,3.06,0.0000,1,0,2026-05-01 12:44:16.788+00
219,3,2023,6,3,3,55.18,,49,45,2.13,3.69,,1,1,2026-05-01 12:44:16.788+00
220,4,2022,9,6,3,65.64,,76,88,2.42,4.10,,0,1,2026-05-01 12:44:16.788+00
221,5,2026,4,3,1,62.91,-0.0831,1,0,45.00,0.00,0.0000,1,0,2026-05-01 12:44:16.788+00
222,6,2022,8,6,2,48.08,,63,16,2.51,2.71,,1,0,2026-05-01 12:44:16.788+00
223,7,2025,4,3,1,63.37,0.0098,43,0,3.29,1.92,0.0000,0,0,2026-05-01 12:44:16.788+00
224,8,2026,6,6,0,75.17,0.0040,3,0,57.00,0.08,0.0000,0,0,2026-05-01 12:44:16.788+00
225,9,2024,4,4,0,41.13,,34,85,1.80,4.37,0.0000,1,0,2026-05-01 12:44:16.788+00
226,10,2023,9,9,0,55.68,,73,0,1.77,4.38,,1,0,2026-05-01 12:44:16.788+00
227,11,2025,5,3,2,75.06,-0.0112,35,0,4.06,1.96,0.0000,0,1,2026-05-01 12:44:16.788+00
228,12,2025,6,2,4,72.39,,42,0,3.00,3.41,0.0000,0,1,2026-05-01 12:44:16.788+00
229,1,2024,8,6,2,69.37,-0.0045,76,0,2.57,2.80,0.0000,0,0,2026-05-01 12:44:16.788+00
230,2,2024,5,3,2,52.92,,40,0,1.43,5.00,,1,1,2026-05-01 12:44:16.788+00
231,3,2024,5,3,2,69.55,0.0421,39,0,6.44,1.48,0.0000,0,1,2026-05-01 12:44:16.788+00
232,4,2024,6,4,2,74.29,0.0322,51,0,2.97,2.36,0.0000,0,1,2026-05-01 12:44:16.788+00
233,5,2024,5,3,2,49.59,,41,162,2.00,4.10,0.0000,1,1,2026-05-01 12:44:16.788+00
234,6,2022,8,6,2,45.59,,64,6,2.27,3.27,,1,0,2026-05-01 12:44:16.788+00
235,7,2025,6,6,0,56.56,,39,68,3.00,5.05,0.0000,1,0,2026-05-01 12:44:16.788+00
236,8,2022,8,5,3,61.82,0.0378,58,0,5.55,1.17,0.0000,1,1,2026-05-01 12:44:16.788+00
237,9,2022,8,6,2,51.65,-0.0678,69,0,2.29,2.85,0.0000,1,0,2026-05-01 12:44:16.788+00
238,10,2025,7,6,1,70.15,0.0655,46,0,2.89,2.87,0.0000,0,0,2026-05-01 12:44:16.788+00
239,11,2023,10,7,3,50.35,,103,15,2.92,2.66,,1,1,2026-05-01 12:44:16.788+00
240,12,2026,3,2,1,56.61,0.0137,2,0,27.00,0.03,0.0000,1,1,2026-05-01 12:44:16.788+00
241,1,2023,7,6,1,72.22,0.0377,56,0,4.30,1.91,0.0000,0,0,2026-05-01 12:44:16.788+00
242,2,2024,7,2,5,58.15,,53,0,2.61,2.68,,1,1,2026-05-01 12:44:16.788+00
243,3,2024,6,5,1,58.00,,53,0,1.97,4.03,,1,0,2026-05-01 12:44:16.788+00
244,4,2025,5,4,1,61.59,,41,0,3.10,3.03,0.0000,1,0,2026-05-01 12:44:16.788+00
