student_id,user_id,course_id,teacher_id,completion_rate,is_completed,avg_score,score_trend,total_events,days_active_on_course,days_since_last_activity,submission_count,late_submission_count,engagement_score,label_fault,refreshed_at
4,4,31,27,1.0000,t,58.65,,10,9,415,0,0,0.3107,1,2026-05-01 12:44:16.788+00
4,4,30,19,0.3956,f,,,34,7,1298,0,0,0.5560,0,2026-05-01 12:44:16.788+00
4,4,4,13,1.0000,t,61.40,,9,8,201,0,0,0.2940,0,2026-05-01 12:44:16.788+00
4,4,1,4,1.0000,t,59.29,,6,6,201,0,0,0.2784,1,2026-05-01 12:44:16.788+00
4,4,35,34,1.0000,t,69.02,,12,10,418,0,0,0.3381,0,2026-05-01 12:44:16.788+00
4,4,8,5,0.2381,f,49.47,,62,6,710,0,0,0.8484,1,2026-05-01 12:44:16.788+00
5,5,34,38,0.0062,t,52.52,-0.0738,20,1,0,8,0,0.3778,1,2026-05-01 12:44:16.788+00
5,5,17,24,0.0098,f,34.32,,24,1,0,0,0,0.3660,1,2026-05-01 12:44:16.788+00
5,5,4,13,0.0238,t,49.33,0.0000,30,1,0,9,0,0.4754,1,2026-05-01 12:44:16.788+00
6,6,1,4,0.3118,f,55.40,,28,11,247,0,0,0.5317,1,2026-05-01 12:44:16.788+00
6,6,18,23,0.3918,f,71.95,,31,10,542,0,0,0.6075,0,2026-05-01 12:44:16.788+00
6,6,22,2,1.0000,t,71.03,,13,12,656,2,0,0.4313,0,2026-05-01 12:44:16.788+00
6,6,2,9,0.2844,f,,,23,7,735,0,0,0.4381,0,2026-05-01 12:44:16.788+00
6,6,23,32,0.4928,f,,,10,10,136,0,0,0.3167,0,2026-05-01 12:44:16.788+00
6,6,9,14,1.0000,t,73.05,,11,11,566,0,0,0.3850,0,2026-05-01 12:44:16.788+00
6,6,32,40,1.0000,t,63.82,,12,12,212,0,0,0.3500,0,2026-05-01 12:44:16.788+00
7,7,31,27,1.0000,t,58.78,,8,6,1089,0,0,0.2883,1,2026-05-01 12:44:16.788+00
7,7,26,30,1.0000,t,55.00,,12,11,421,0,0,0.3269,1,2026-05-01 12:44:16.788+00
7,7,12,7,1.0000,t,54.13,,8,7,617,0,0,0.2774,1,2026-05-01 12:44:16.788+00
7,7,22,2,0.4216,f,57.53,,7,7,529,0,0,0.2667,1,2026-05-01 12:44:16.788+00
7,7,35,34,1.0000,t,66.27,,7,6,451,0,0,0.2913,0,2026-05-01 12:44:16.788+00
7,7,37,42,0.3333,f,49.77,,44,6,485,0,0,0.6565,1,2026-05-01 12:44:16.788+00
7,7,14,21,1.0000,t,67.21,,9,9,451,0,0,0.3450,0,2026-05-01 12:44:16.788+00
8,8,36,44,0.5225,f,58.34,,6,6,17,0,0,0.2500,1,2026-05-01 12:44:16.788+00
8,8,32,40,1.0000,t,59.05,,8,8,125,0,0,0.2666,1,2026-05-01 12:44:16.788+00
8,8,11,12,1.0000,t,64.26,,12,12,434,0,0,0.4079,0,2026-05-01 12:44:16.788+00
8,8,5,6,0.4595,t,58.38,0.0186,67,10,0,21,0,0.9525,1,2026-05-01 12:44:16.788+00
8,8,1,4,0.2581,f,44.90,,37,7,57,0,0,0.5728,1,2026-05-01 12:44:16.788+00
8,8,4,13,1.0000,t,62.14,,12,12,977,0,0,0.3687,0,2026-05-01 12:44:16.788+00
8,8,30,19,1.0000,t,62.04,,12,12,666,0,0,0.3683,0,2026-05-01 12:44:16.788+00
8,8,15,15,1.0000,t,74.13,,17,15,630,2,0,0.4826,0,2026-05-01 12:44:16.788+00
9,9,25,33,1.0000,t,48.28,,7,7,760,0,0,0.2667,1,2026-05-01 12:44:16.788+00
9,9,36,44,0.3423,f,48.00,,24,6,900,0,0,0.4368,1,2026-05-01 12:44:16.788+00
9,9,2,9,0.9580,t,52.73,,11,10,681,2,1,0.3553,1,2026-05-01 12:44:16.788+00
9,9,21,3,0.3940,t,51.75,,9,9,0,0,0,0.3022,1,2026-05-01 12:44:16.788+00
9,9,4,13,0.4846,f,42.92,,9,9,474,0,0,0.2789,1,2026-05-01 12:44:16.788+00
9,9,12,7,1.0000,t,51.42,,7,7,312,0,0,0.2667,1,2026-05-01 12:44:16.788+00
9,9,15,15,1.0000,t,62.35,,7,7,591,0,0,0.2667,0,2026-05-01 12:44:16.788+00
9,9,19,16,1.0000,t,46.42,,9,8,191,0,0,0.2936,1,2026-05-01 12:44:16.788+00
9,9,6,8,1.0000,t,51.65,,10,10,11,0,0,0.3167,1,2026-05-01 12:44:16.788+00
10,10,5,6,1.0000,t,71.93,,11,11,30,1,0,0.3609,0,2026-05-01 12:44:16.788+00
10,10,14,21,1.0000,t,84.79,,11,10,114,0,0,0.4128,0,2026-05-01 12:44:16.788+00
10,10,37,42,0.0570,f,61.46,,32,1,0,0,0,0.5332,0,2026-05-01 12:44:16.788+00
10,10,34,38,1.0000,t,78.24,,13,13,98,0,0,0.3667,0,2026-05-01 12:44:16.788+00
10,10,2,9,1.0000,t,70.70,,11,10,17,0,0,0.3891,0,2026-05-01 12:44:16.788+00
11,11,5,6,1.0000,t,52.13,,7,7,340,0,0,0.2239,1,2026-05-01 12:44:16.788+00
11,11,27,36,0.4054,f,49.23,,7,7,657,0,0,0.2644,1,2026-05-01 12:44:16.788+00
11,11,29,11,0.9351,t,57.11,,8,8,231,1,0,0.3068,1,2026-05-01 12:44:16.788+00
11,11,20,26,1.0000,t,62.43,,9,9,830,0,0,0.3216,0,2026-05-01 12:44:16.788+00
11,11,34,38,0.3304,f,47.04,,21,7,509,0,0,0.4078,1,2026-05-01 12:44:16.788+00
11,11,28,31,1.0000,t,63.19,,11,10,356,1,0,0.3825,0,2026-05-01 12:44:16.788+00
11,11,22,2,0.3627,f,44.25,,15,8,250,0,0,0.3411,1,2026-05-01 12:44:16.788+00
11,11,32,40,1.0000,t,52.54,,8,8,299,0,0,0.2833,1,2026-05-01 12:44:16.788+00
12,12,8,5,0.0302,t,56.25,-0.0813,14,1,0,7,0,0.3247,1,2026-05-01 12:44:16.788+00
12,12,5,6,0.0487,f,,,8,2,0,0,0,0.2476,0,2026-05-01 12:44:16.788+00
12,12,19,16,0.0109,t,59.89,-0.0136,12,1,0,5,0,0.3142,1,2026-05-01 12:44:16.788+00
13,1,16,25,0.1720,f,72.34,,31,2,0,0,0,0.5611,0,2026-05-01 12:44:16.788+00
13,1,21,3,1.0000,t,70.90,,7,7,614,0,0,0.2667,0,2026-05-01 12:44:16.788+00
13,1,19,16,1.0000,t,67.37,,8,8,236,0,0,0.3633,0,2026-05-01 12:44:16.788+00
13,1,1,4,1.0000,t,66.22,,6,6,545,0,0,0.2500,0,2026-05-01 12:44:16.788+00
13,1,8,5,0.5238,f,,,7,7,555,0,0,0.2667,0,2026-05-01 12:44:16.788+00
13,1,22,2,1.0000,t,74.65,,8,7,15,0,0,0.3550,0,2026-05-01 12:44:16.788+00
13,1,2,9,1.0000,t,68.91,,9,8,953,0,0,0.2940,0,2026-05-01 12:44:16.788+00
13,1,5,6,1.0000,t,66.71,,8,8,1259,0,0,0.3067,0,2026-05-01 12:44:16.788+00
13,1,4,13,1.0000,t,73.29,,5,5,538,0,0,0.2333,0,2026-05-01 12:44:16.788+00
14,2,20,26,0.8013,t,68.17,,12,12,181,2,0,0.3933,0,2026-05-01 12:44:16.788+00
14,2,22,2,1.0000,t,64.19,,9,9,292,0,0,0.3000,0,2026-05-01 12:44:16.788+00
14,2,6,8,1.0000,t,65.64,,8,8,827,0,0,0.3335,0,2026-05-01 12:44:16.788+00
14,2,13,20,0.3500,f,41.67,,22,8,454,0,0,0.4083,1,2026-05-01 12:44:16.788+00
14,2,4,13,1.0000,t,64.37,,9,9,75,0,0,0.3605,0,2026-05-01 12:44:16.788+00
14,2,14,21,0.3817,f,73.43,,10,10,599,0,0,0.3167,0,2026-05-01 12:44:16.788+00
15,3,6,8,0.0236,t,69.57,0.0185,23,1,0,6,0,0.4611,0,2026-05-01 12:44:16.788+00
15,3,20,26,0.0233,t,73.65,-0.0494,20,1,0,3,0,0.4412,0,2026-05-01 12:44:16.788+00
15,3,17,24,0.0146,t,80.76,-0.0720,16,1,0,6,0,0.4197,0,2026-05-01 12:44:16.788+00
15,3,19,16,0.0175,t,67.49,,13,2,0,3,0,0.3537,0,2026-05-01 12:44:16.788+00
15,3,31,27,0.0493,t,70.32,0.0618,24,2,0,11,0,0.4800,0,2026-05-01 12:44:16.788+00
16,4,5,6,1.0000,t,62.18,,7,7,52,0,0,0.2667,0,2026-05-01 12:44:16.788+00
16,4,30,19,0.1646,f,48.57,,19,5,0,0,0,0.3790,1,2026-05-01 12:44:16.788+00
16,4,37,42,1.0000,t,60.92,,9,9,129,0,0,0.3000,0,2026-05-01 12:44:16.788+00
16,4,29,11,1.0000,t,63.24,,11,11,21,0,0,0.3333,0,2026-05-01 12:44:16.788+00
16,4,13,20,0.1797,t,58.53,0.0141,56,3,0,15,0,0.7935,1,2026-05-01 12:44:16.788+00
16,4,20,26,1.0000,t,68.67,,10,10,100,0,0,0.3544,0,2026-05-01 12:44:16.788+00
17,5,20,26,0.0271,t,71.50,-0.0268,23,1,0,6,0,0.4669,0,2026-05-01 12:44:16.788+00
17,5,8,5,0.0638,t,63.23,0.0502,20,2,0,4,0,0.4159,0,2026-05-01 12:44:16.788+00
17,5,23,32,0.0126,t,70.12,,10,1,0,3,0,0.3234,0,2026-05-01 12:44:16.788+00
18,6,28,31,0.6797,t,80.70,,8,8,0,0,0,0.2833,0,2026-05-01 12:44:16.788+00
18,6,8,5,0.1214,f,,,35,3,0,0,0,0.5429,0,2026-05-01 12:44:16.788+00
18,6,25,33,1.0000,t,68.60,,11,10,103,0,0,0.3401,0,2026-05-01 12:44:16.788+00
18,6,29,11,1.0000,t,70.21,,9,9,62,0,0,0.3000,0,2026-05-01 12:44:16.788+00
18,6,36,44,1.0000,t,64.74,,8,7,142,1,0,0.3007,0,2026-05-01 12:44:16.788+00
19,7,16,25,1.0000,t,59.22,,10,10,723,0,0,0.3167,1,2026-05-01 12:44:16.788+00
19,7,9,14,1.0000,t,59.13,,10,10,407,0,0,0.3167,1,2026-05-01 12:44:16.788+00
19,7,30,19,0.1978,f,51.48,,24,5,207,0,0,0.4413,1,2026-05-01 12:44:16.788+00
19,7,2,9,0.2477,f,35.59,,34,9,833,0,0,0.5246,1,2026-05-01 12:44:16.788+00
19,7,34,38,0.5089,f,65.87,,9,9,158,0,0,0.3000,0,2026-05-01 12:44:16.788+00
19,7,28,31,1.0000,t,69.64,,9,8,16,0,0,0.3674,0,2026-05-01 12:44:16.788+00
19,7,31,27,0.3277,f,51.67,,32,9,44,0,0,0.5514,1,2026-05-01 12:44:16.788+00
19,7,6,8,0.5041,f,42.49,,7,7,73,0,0,0.2441,1,2026-05-01 12:44:16.788+00
20,8,5,6,0.4767,f,,,20,7,162,0,0,0.4060,0,2026-05-01 12:44:16.788+00
20,8,28,31,1.0000,t,64.02,,12,11,29,0,0,0.3440,0,2026-05-01 12:44:16.788+00
20,8,22,2,0.0568,t,50.72,0.0222,31,1,0,9,0,0.4902,1,2026-05-01 12:44:16.788+00
20,8,6,8,0.4625,f,,,9,8,94,0,0,0.2940,0,2026-05-01 12:44:16.788+00
20,8,4,13,0.6678,t,55.01,,6,6,0,0,0,0.2500,1,2026-05-01 12:44:16.788+00
20,8,19,16,0.4186,f,39.50,,20,6,85,0,0,0.3685,1,2026-05-01 12:44:16.788+00
20,8,9,14,0.2992,f,,,10,8,0,0,0,0.3048,0,2026-05-01 12:44:16.788+00
21,9,3,1,1.0000,t,68.42,,8,8,365,0,0,0.3485,0,2026-05-01 12:44:16.788+00
21,9,20,26,1.0000,t,74.44,,10,10,475,0,0,0.3167,0,2026-05-01 12:44:16.788+00
21,9,10,18,1.0000,t,70.58,,11,11,52,0,0,0.3953,0,2026-05-01 12:44:16.788+00
21,9,5,6,1.0000,t,66.31,,12,11,232,0,0,0.3992,0,2026-05-01 12:44:16.788+00
21,9,12,7,0.4749,t,69.33,,14,13,0,1,0,0.4223,0,2026-05-01 12:44:16.788+00
21,9,31,27,1.0000,t,68.22,,11,9,168,0,0,0.3214,0,2026-05-01 12:44:16.788+00
22,10,10,18,0.0207,t,51.87,-0.0625,18,2,0,5,0,0.3604,1,2026-05-01 12:44:16.788+00
22,10,27,36,0.0134,t,61.38,0.0247,22,1,0,10,0,0.4258,0,2026-05-01 12:44:16.788+00
22,10,12,7,0.0539,t,48.88,0.0290,20,2,0,7,0,0.3728,1,2026-05-01 12:44:16.788+00
22,10,26,30,0.0358,t,49.99,-0.0274,18,1,0,5,0,0.3488,1,2026-05-01 12:44:16.788+00
23,11,15,15,1.0000,t,76.97,,12,12,59,0,0,0.4121,0,2026-05-01 12:44:16.788+00
23,11,25,33,0.4158,f,70.06,,20,9,342,0,0,0.4780,0,2026-05-01 12:44:16.788+00
23,11,7,10,0.1798,f,70.82,,19,3,0,0,0,0.4339,0,2026-05-01 12:44:16.788+00
23,11,22,2,0.7864,t,65.09,,10,8,196,2,1,0.3589,0,2026-05-01 12:44:16.788+00
23,11,16,25,1.0000,t,72.60,,11,10,411,1,0,0.3834,0,2026-05-01 12:44:16.788+00
23,11,20,26,0.5760,f,79.29,,8,8,188,0,0,0.2833,0,2026-05-01 12:44:16.788+00
24,12,3,1,0.0114,t,74.60,,8,1,0,3,0,0.3155,0,2026-05-01 12:44:16.788+00
24,12,17,24,0.0683,t,77.25,,9,3,0,3,0,0.3460,0,2026-05-01 12:44:16.788+00
24,12,20,26,0.0475,t,70.49,,8,2,0,2,0,0.3091,0,2026-05-01 12:44:16.788+00
24,12,11,12,0.0679,t,77.03,,8,2,0,3,0,0.3287,0,2026-05-01 12:44:16.788+00
24,12,34,38,0.0040,t,75.11,,8,1,0,2,0,0.3170,0,2026-05-01 12:44:16.788+00
25,1,1,4,0.0012,t,63.11,0.0449,17,1,0,8,0,0.3774,0,2026-05-01 12:44:16.788+00
25,1,22,2,0.0441,t,68.11,0.0158,16,2,0,4,0,0.3877,0,2026-05-01 12:44:16.788+00
25,1,28,31,0.0238,t,73.91,0.0252,17,1,0,7,0,0.4098,0,2026-05-01 12:44:16.788+00
25,1,6,8,0.0273,f,,,14,1,0,0,0,0.3060,0,2026-05-01 12:44:16.788+00
25,1,36,44,0.0598,t,65.03,0.0043,21,3,0,6,0,0.4379,0,2026-05-01 12:44:16.788+00
25,1,3,1,0.0333,t,58.77,-0.1431,15,1,0,4,0,0.3430,1,2026-05-01 12:44:16.788+00
25,1,2,9,0.0461,t,67.40,-0.1026,15,1,0,5,0,0.3689,0,2026-05-01 12:44:16.788+00
26,2,13,20,1.0000,t,73.33,,7,7,1020,0,0,0.3580,0,2026-05-01 12:44:16.788+00
26,2,3,1,0.5714,f,58.95,,12,10,15,0,0,0.3791,1,2026-05-01 12:44:16.788+00
26,2,22,2,0.6854,t,78.16,,10,10,0,0,0,0.3167,0,2026-05-01 12:44:16.788+00
26,2,14,21,0.5954,f,69.86,,10,10,413,0,0,0.3167,0,2026-05-01 12:44:16.788+00
26,2,5,6,0.9821,t,71.57,,11,10,0,0,0,0.3795,0,2026-05-01 12:44:16.788+00
26,2,8,5,1.0000,t,71.43,,8,7,477,0,0,0.2774,0,2026-05-01 12:44:16.788+00
26,2,33,22,1.0000,t,85.71,,9,9,569,0,0,0.3000,0,2026-05-01 12:44:16.788+00
26,2,34,38,0.5446,f,65.71,,10,9,520,0,0,0.3780,0,2026-05-01 12:44:16.788+00
26,2,17,24,1.0000,t,78.50,,7,7,672,0,0,0.3250,0,2026-05-01 12:44:16.788+00
26,2,15,15,1.0000,t,86.25,,10,10,263,0,0,0.4473,0,2026-05-01 12:44:16.788+00
27,3,9,14,0.0519,f,48.88,,11,1,0,1,0,0.2704,1,2026-05-01 12:44:16.788+00
27,3,7,10,0.0325,t,60.27,0.0674,12,1,0,4,0,0.3153,0,2026-05-01 12:44:16.788+00
27,3,5,6,0.0141,t,57.48,0.0291,16,1,0,7,0,0.3498,1,2026-05-01 12:44:16.788+00
28,4,6,8,1.0000,t,66.44,,8,8,163,0,0,0.3215,0,2026-05-01 12:44:16.788+00
28,4,18,23,0.5361,f,68.48,,10,10,521,0,0,0.3809,0,2026-05-01 12:44:16.788+00
28,4,22,2,1.0000,t,67.89,,8,8,306,0,0,0.2833,0,2026-05-01 12:44:16.788+00
28,4,11,12,1.0000,t,65.74,,9,8,89,0,0,0.3124,0,2026-05-01 12:44:16.788+00
28,4,28,31,0.2813,f,53.52,,45,7,4,0,0,0.6844,1,2026-05-01 12:44:16.788+00
28,4,31,27,0.2007,f,59.35,,21,6,0,1,0,0.4388,1,2026-05-01 12:44:16.788+00
28,4,20,26,0.8490,t,68.51,,10,8,9,0,0,0.3048,0,2026-05-01 12:44:16.788+00
29,5,23,32,0.0447,t,69.30,-0.0877,20,2,0,8,0,0.4341,0,2026-05-01 12:44:16.788+00
29,5,10,18,0.0295,t,65.46,0.0434,19,1,0,7,0,0.4059,0,2026-05-01 12:44:16.788+00
29,5,24,28,0.0322,t,75.75,0.0687,26,1,0,9,0,0.5118,0,2026-05-01 12:44:16.788+00
29,5,7,10,0.0508,t,66.43,0.0218,24,1,0,8,0,0.4624,0,2026-05-01 12:44:16.788+00
29,5,31,27,0.0352,f,,,24,1,0,0,0,0.4131,0,2026-05-01 12:44:16.788+00
29,5,36,44,0.0186,t,67.51,-0.0489,33,1,0,13,0,0.5621,0,2026-05-01 12:44:16.788+00
29,5,8,5,0.0077,t,67.19,0.1376,21,1,0,6,0,0.4325,0,2026-05-01 12:44:16.788+00
30,6,33,22,1.0000,t,78.91,,13,12,137,1,0,0.4706,0,2026-05-01 12:44:16.788+00
30,6,22,2,1.0000,t,73.29,,11,11,148,0,0,0.4115,0,2026-05-01 12:44:16.788+00
30,6,29,11,0.5410,f,55.71,,11,11,19,0,0,0.3767,1,2026-05-01 12:44:16.788+00
30,6,23,32,1.0000,t,64.59,,10,9,67,0,0,0.3459,0,2026-05-01 12:44:16.788+00
30,6,25,33,1.0000,t,62.92,,9,9,51,0,0,0.3357,0,2026-05-01 12:44:16.788+00
30,6,3,1,1.0000,t,66.80,,8,8,137,0,0,0.2833,0,2026-05-01 12:44:16.788+00
30,6,30,19,1.0000,t,65.35,,12,12,12,0,0,0.3605,0,2026-05-01 12:44:16.788+00
31,7,16,25,1.0000,t,71.89,,9,8,162,0,0,0.2940,0,2026-05-01 12:44:16.788+00
31,7,23,32,0.1693,f,57.07,,33,8,0,0,0,0.5724,1,2026-05-01 12:44:16.788+00
31,7,13,20,0.3200,f,,,13,7,173,0,0,0.3310,0,2026-05-01 12:44:16.788+00
31,7,28,31,1.0000,t,81.23,,7,7,131,0,0,0.2667,0,2026-05-01 12:44:16.788+00
31,7,3,1,1.0000,t,70.16,,6,6,53,0,0,0.2708,0,2026-05-01 12:44:16.788+00
31,7,18,23,0.5464,f,62.54,,9,9,113,0,0,0.3109,0,2026-05-01 12:44:16.788+00
32,8,19,16,1.0000,t,61.61,,10,10,766,0,0,0.3167,0,2026-05-01 12:44:16.788+00
32,8,4,13,1.0000,t,62.86,,8,8,526,0,0,0.3218,0,2026-05-01 12:44:16.788+00
32,8,26,30,1.0000,t,62.69,,11,10,812,0,0,0.3883,0,2026-05-01 12:44:16.788+00
32,8,36,44,1.0000,t,64.31,,11,11,173,0,0,0.3635,0,2026-05-01 12:44:16.788+00
32,8,20,26,1.0000,t,70.94,,8,8,873,0,0,0.2833,0,2026-05-01 12:44:16.788+00
32,8,1,4,1.0000,t,63.17,,11,9,1126,0,0,0.3214,0,2026-05-01 12:44:16.788+00
32,8,27,36,0.8959,t,72.07,,8,8,0,0,0,0.2833,0,2026-05-01 12:44:16.788+00
33,9,36,44,0.3117,t,63.60,0.0154,46,6,0,9,0,0.7194,0,2026-05-01 12:44:16.788+00
33,9,2,9,0.5260,f,50.77,,8,8,0,0,0,0.2833,1,2026-05-01 12:44:16.788+00
33,9,27,36,1.0000,t,75.03,,8,8,18,0,0,0.3580,0,2026-05-01 12:44:16.788+00
33,9,32,40,0.6029,t,62.72,,8,8,0,0,0,0.2856,0,2026-05-01 12:44:16.788+00
33,9,31,27,0.7062,t,66.95,,9,8,153,1,0,0.3415,0,2026-05-01 12:44:16.788+00
33,9,23,32,0.5362,f,65.54,,10,9,13,0,0,0.3573,0,2026-05-01 12:44:16.788+00
33,9,28,31,1.0000,t,79.60,,9,9,97,0,0,0.3000,0,2026-05-01 12:44:16.788+00
34,10,9,14,0.0063,t,71.47,0.0533,33,1,0,9,0,0.5739,0,2026-05-01 12:44:16.788+00
34,10,21,3,0.0046,t,69.84,-0.0086,24,1,0,6,0,0.4726,0,2026-05-01 12:44:16.788+00
34,10,37,42,0.0441,f,64.14,,18,1,0,0,0,0.3912,0,2026-05-01 12:44:16.788+00
34,10,22,2,0.0583,f,68.88,,25,3,0,0,0,0.4924,0,2026-05-01 12:44:16.788+00
34,10,8,5,0.0024,t,66.71,0.0550,16,1,0,4,0,0.3775,0,2026-05-01 12:44:16.788+00
35,11,22,2,1.0000,t,46.70,,7,7,287,0,0,0.2668,1,2026-05-01 12:44:16.788+00
35,11,20,26,0.3540,f,,,8,7,269,0,0,0.2774,0,2026-05-01 12:44:16.788+00
35,11,15,15,0.8770,t,56.02,,9,7,349,1,0,0.2914,1,2026-05-01 12:44:16.788+00
35,11,26,30,0.5000,f,26.88,,6,6,465,0,0,0.2500,1,2026-05-01 12:44:16.788+00
35,11,36,44,0.8345,t,50.25,,8,8,167,2,0,0.2827,1,2026-05-01 12:44:16.788+00
35,11,1,4,1.0000,t,39.55,,6,6,444,0,0,0.2103,1,2026-05-01 12:44:16.788+00
35,11,9,14,0.2213,f,45.21,,21,9,414,0,0,0.4142,1,2026-05-01 12:44:16.788+00
36,12,23,32,0.0036,t,63.28,0.0069,24,1,0,6,0,0.4529,0,2026-05-01 12:44:16.788+00
36,12,8,5,0.0206,f,,,9,1,0,0,0,0.2524,0,2026-05-01 12:44:16.788+00
36,12,30,19,0.0678,t,59.93,0.0929,13,1,0,6,0,0.3250,1,2026-05-01 12:44:16.788+00
36,12,1,4,0.0034,t,61.49,0.0241,21,1,0,5,0,0.4154,0,2026-05-01 12:44:16.788+00
37,1,24,28,1.0000,t,77.07,,13,12,765,0,0,0.3607,0,2026-05-01 12:44:16.788+00
37,1,6,8,1.0000,t,73.34,,12,12,835,0,0,0.3819,0,2026-05-01 12:44:16.788+00
37,1,30,19,1.0000,t,68.81,,10,9,204,0,0,0.3692,0,2026-05-01 12:44:16.788+00
37,1,14,21,1.0000,t,82.47,,10,10,472,0,0,0.3167,0,2026-05-01 12:44:16.788+00
37,1,9,14,1.0000,t,77.65,,13,12,58,0,0,0.3607,0,2026-05-01 12:44:16.788+00
37,1,5,6,0.6512,f,62.72,,10,9,816,0,0,0.3224,0,2026-05-01 12:44:16.788+00
37,1,15,15,0.4444,f,87.74,,10,10,720,0,0,0.4299,0,2026-05-01 12:44:16.788+00
37,1,35,34,1.0000,t,83.71,,16,13,335,0,0,0.4907,0,2026-05-01 12:44:16.788+00
38,2,11,12,0.2614,f,,,35,5,442,0,0,0.5548,0,2026-05-01 12:44:16.788+00
38,2,33,22,1.0000,t,59.37,,9,9,1088,0,0,0.3000,1,2026-05-01 12:44:16.788+00
38,2,32,40,1.0000,t,50.19,,13,12,759,0,0,0.3435,1,2026-05-01 12:44:16.788+00
38,2,20,26,1.0000,t,51.13,,10,10,1135,0,0,0.2933,1,2026-05-01 12:44:16.788+00
38,2,12,7,0.5098,f,49.51,,10,9,652,0,0,0.3107,1,2026-05-01 12:44:16.788+00
38,2,27,36,0.5766,f,51.36,,7,7,15,0,0,0.2667,1,2026-05-01 12:44:16.788+00
38,2,35,34,1.0000,t,60.19,,9,9,525,0,0,0.3000,0,2026-05-01 12:44:16.788+00
38,2,16,25,0.4302,f,,,39,8,235,0,0,0.6155,0,2026-05-01 12:44:16.788+00
38,2,5,6,1.0000,t,47.36,,6,6,1048,0,0,0.2500,1,2026-05-01 12:44:16.788+00
39,3,16,25,1.0000,t,69.27,,7,7,787,0,0,0.3356,0,2026-05-01 12:44:16.788+00
39,3,28,31,1.0000,t,78.04,,14,13,389,1,0,0.4448,0,2026-05-01 12:44:16.788+00
39,3,8,5,1.0000,t,60.99,,10,10,606,1,0,0.3644,0,2026-05-01 12:44:16.788+00
39,3,36,44,1.0000,t,62.21,,10,10,311,0,0,0.3190,0,2026-05-01 12:44:16.788+00
39,3,5,6,0.2209,f,45.48,,29,3,930,0,0,0.4650,1,2026-05-01 12:44:16.788+00
39,3,23,32,0.3841,f,55.25,,6,6,904,0,0,0.2900,1,2026-05-01 12:44:16.788+00
39,3,27,36,1.0000,t,75.47,,8,8,752,0,0,0.3126,0,2026-05-01 12:44:16.788+00
40,4,22,2,1.0000,t,66.29,,12,11,373,0,0,0.3951,0,2026-05-01 12:44:16.788+00
40,4,30,19,1.0000,t,60.15,,10,9,34,0,0,0.3107,0,2026-05-01 12:44:16.788+00
40,4,35,34,0.9935,t,72.80,,10,10,0,0,0,0.3167,0,2026-05-01 12:44:16.788+00
40,4,32,40,1.0000,t,57.98,,9,9,437,0,0,0.3342,1,2026-05-01 12:44:16.788+00
40,4,23,32,0.6304,f,49.47,,7,7,440,0,0,0.2667,1,2026-05-01 12:44:16.788+00
41,5,36,44,0.2342,f,52.30,,24,6,372,0,0,0.4497,1,2026-05-01 12:44:16.788+00
41,5,24,28,0.8029,t,67.14,,14,12,517,3,0,0.4011,0,2026-05-01 12:44:16.788+00
41,5,11,12,1.0000,t,64.79,,12,9,5,0,0,0.3763,0,2026-05-01 12:44:16.788+00
